1,2,3
1,4,66
1,1,2
1,3,65
2,2,74
2,1,70
2,3,75
3,2,71
3,1,67
3,3,72
4,2,68
4,1,62
4,3,69
5,2,63
5,1,1
5,3,64
6,2,39
6,1,38
7,2,5
7,1,4
8,2,41
8,1,40
9,2,43
9,1,42
10,2,45
10,1,44
11,2,47
11,1,46
12,2,49
12,1,48
13,2,51
13,1,50
14,2,53
14,1,52
15,2,55
15,1,54
16,2,57
16,1,56
17,2,59
17,1,58
18,2,61
18,1,60
19,2,35
19,1,34
20,2,37
20,1,36
21,2,7
21,1,6
22,2,9
22,1,8
23,2,11
23,1,10
24,2,13
24,1,12
25,2,15
25,1,14
26,2,17
26,1,16
27,2,19
27,1,18
28,2,23
28,1,22
29,2,25
29,1,24
30,2,27
30,1,26
31,2,29
31,1,28
32,2,31
32,1,30
33,2,33
33,1,32
34,2,21
34,1,20
35,1,88
36,1,89
37,1,90
38,1,91
39,1,92
40,1,93
41,1,94
42,1,95
43,1,96
44,1,97
45,1,98
46,1,99
47,1,100
48,1,87
49,1,86
50,1,85
51,1,84
52,1,83
53,1,82
54,1,81
55,1,80
56,1,79
57,1,78
58,1,77
59,1,76
60,1,73
