1,2,3
2,2,5
3,2,7
4,2,9
5,2,11
6,2,13
7,2,15
8,2,17
9,2,19
10,2,21
11,2,23
12,2,25
13,2,27
14,2,29
15,2,31
16,2,33
17,2,35
18,2,37
1,4,42
2,4,44
3,4,46
4,4,48
5,4,50
6,4,52
7,4,54
8,4,56
9,4,58
10,4,60
1,6,67
2,6,69
3,6,71
4,6,73
5,6,75
6,6,77
7,6,79
8,6,81
1,8,90
1,1,2
2,1,4
3,1,6
4,1,8
5,1,10
6,1,12
7,1,14
8,1,16
9,1,18
10,1,20
11,1,22
12,1,24
13,1,26
14,1,28
15,1,30
16,1,32
17,1,34
18,1,36
1,3,41
2,3,43
3,3,45
4,3,47
5,3,49
6,3,51
7,3,53
8,3,55
9,3,57
10,3,59
1,5,66
2,5,68
3,5,70
4,5,72
5,5,74
6,5,76
7,5,78
8,5,80
1,7,89
