1,2,3
2,2,5
3,2,7
4,2,9
5,2,11
6,2,13
7,2,15
8,2,17
9,2,19
10,2,21
11,2,23
12,2,25
13,2,27
14,2,29
15,2,31
16,2,33
17,2,35
18,2,37
19,2,39
20,2,41
1,4,46
2,4,48
3,4,50
4,4,52
5,4,54
6,4,56
7,4,58
8,4,60
9,4,62
10,4,64
11,4,66
12,4,68
1,6,75
2,6,77
3,6,79
4,6,81
5,6,83
1,1,2
2,1,4
3,1,6
4,1,8
5,1,10
6,1,12
7,1,14
8,1,16
9,1,18
10,1,20
11,1,22
12,1,24
13,1,26
14,1,28
15,1,30
16,1,32
17,1,34
18,1,36
19,1,38
20,1,40
1,3,45
2,3,47
3,3,49
4,3,51
5,3,53
6,3,55
7,3,57
8,3,59
9,3,61
10,3,63
11,3,65
12,3,67
1,5,74
2,5,76
3,5,78
4,5,80
5,5,82
