1,2,3
1,4,34
1,6,61
1,8,82
1,1,2
1,3,33
1,5,60
1,7,81
2,2,56
2,4,77
2,6,88
2,1,30
2,3,57
2,5,78
2,7,89
3,2,31
3,4,58
3,6,79
3,1,1
3,3,32
3,5,59
3,7,80
4,2,5
4,4,36
4,6,63
4,1,4
4,3,35
4,5,62
5,2,7
5,4,38
5,6,65
5,1,6
5,3,37
5,5,64
6,2,9
6,4,40
6,6,67
6,1,8
6,3,39
6,5,66
7,2,11
7,4,42
7,6,69
7,1,10
7,3,41
7,5,68
8,2,13
8,4,44
8,6,71
8,1,12
8,3,43
8,5,70
9,2,15
9,4,46
9,6,73
9,1,14
9,3,45
9,5,72
10,2,84
10,4,93
10,1,74
10,3,85
10,5,94
11,2,75
11,4,86
11,1,55
11,3,76
11,5,87
12,2,23
12,4,54
12,1,22
12,3,53
13,2,21
13,4,52
13,1,20
13,3,51
14,2,19
14,4,50
14,1,18
14,3,49
15,2,17
15,4,48
15,1,16
15,3,47
16,2,96
16,1,90
16,3,97
17,2,91
17,1,83
17,3,92
18,2,27
18,1,26
19,2,29
19,1,28
20,2,25
20,1,24
21,1,95
22,1,98
23,1,99
24,1,100
